Graph, Nodes, Edges, Hops, Node-Edge Ratio, Time, 
A10, 10, 28, 2.8, 731, 8.47134e+17, 
A11, 11, 28, 2.54545, 1302, 8.48814e+17, 
A12, 12, 34, 2.83333, 2437, 8.42091e+17, 
A13, 13, 25, 1.92308, 5830, 8.57218e+17, 
A14, 14, 40, 2.85714, 1834, 8.52176e+17, 
A15, 15, 27, 1.8, 5207, 8.53857e+17, 
A16, 16, 51, 3.1875, 3139, 8.53857e+17, 
A17, 17, 37, 2.17647, 3506, 8.55538e+17, 
A18, 18, 31, 1.72222, 5001, 8.58899e+17, 
A19, 19, 59, 3.10526, 3069, 8.58899e+17, 
A20, 20, 36, 1.8, 16413, 8.58899e+17, 
A21, 21, 64, 3.04762, 4078, 8.58899e+17, 
A22, 22, 43, 1.95455, 11773, 8.67304e+17, 
A23, 23, 51, 2.21739, 18445, 8.67304e+17, 
A24, 24, 57, 2.375, 8541, 8.6058e+17, 
A25, 25, 51, 2.04, 16847, 8.57219e+17, 
A26, 26, 48, 1.84615, 23104, 8.67304e+17, 
A27, 27, 87, 3.22222, 9125, 8.63942e+17, 
A28, 28, 68, 2.42857, 12562, 8.63942e+17, 
A29, 29, 120, 4.13793, 8484, 8.72346e+17, 
A30, 30, 63, 2.1, 28295, 8.70665e+17, 
A31, 31, 105, 3.3871, 8027, 8.75708e+17, 
A32, 32, 77, 2.40625, 22908, 8.75708e+17, 
A33, 33, 120, 3.63636, 15985, 8.75708e+17, 
A34, 34, 100, 2.94118, 26349, 8.7907e+17, 
A35, 35, 119, 3.4, 13525, 8.77389e+17, 
A36, 36, 81, 2.25, 16498, 8.68985e+17, 
A37, 37, 153, 4.13514, 9376, 8.74027e+17, 
A38, 38, 111, 2.92105, 31993, 8.77389e+17, 
A39, 39, 134, 3.4359, 36644, 8.80751e+17, 
A40, 40, 179, 4.475, 6526, 8.77389e+17, 
A41, 41, 182, 4.43902, 7153, 8.77389e+17, 
A42, 42, 174, 4.14286, 6919, 8.77389e+17, 
A43, 43, 158, 3.67442, 13310, 8.7907e+17, 
A44, 44, 137, 3.11364, 28159, 8.94198e+17, 
A45, 45, 144, 3.2, 20341, 8.82432e+17, 
A46, 46, 207, 4.5, 9854, 8.7907e+17, 
A47, 47, 154, 3.2766, 21459, 8.87474e+17, 
A48, 48, 174, 3.625, 14774, 8.75709e+17, 
A49, 49, 189, 3.85714, 18610, 8.90836e+17, 
A50, 50, 159, 3.18, 46046, 8.84113e+17, 
