Nodes: ,45,
Edges: ,144,
Messages, Hops, Time,
5, 2487, 8.06789e+16, 
10, 1692, 8.9083e+16, 
15, 1901, 9.58063e+16, 
20, 2368, 1.05891e+17, 
25, 2219, 1.07572e+17, 
30, 2353, 1.15976e+17, 
35, 2611, 1.21018e+17, 
40, 2605, 1.32784e+17, 
45, 3196, 1.36146e+17, 
50, 2792, 1.32784e+17, 
55, 2767, 1.4455e+17, 
60, 3386, 1.49592e+17, 
65, 3759, 1.6472e+17, 
70, 4682, 1.63039e+17, 
75, 3492, 1.74804e+17, 
80, 3152, 1.69762e+17, 
85, 4787, 1.94974e+17, 
90, 4789, 2.00017e+17, 
95, 5130, 2.01697e+17, 
100, 5293, 2.10101e+17, 
105, 4318, 2.11782e+17, 
110, 5239, 2.31952e+17, 
115, 5857, 2.30271e+17, 
120, 6603, 2.52122e+17, 
125, 6212, 2.45399e+17, 
130, 7643, 2.58845e+17, 
135, 4934, 2.67249e+17, 
140, 6070, 2.75653e+17, 
145, 5338, 2.85738e+17, 
150, 6322, 2.99185e+17, 
